date,routeer,door,gifts,womens one,womens two,mens,upstairs,location
4/14/13 11:48,00:13:a2:00:40:8c:bc:00,,,,1,,,4
4/14/13 11:48,00:13:a2:00:40:8c:bc:00,,,,1,,,4
4/14/13 11:48,00:13:a2:00:40:8c:bc:00,,,,1,,,4
4/14/13 11:48,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:48,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:48,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:48,00:13:a2:00:40:79:c2:16,,,1,,,,3
4/14/13 11:49,00:13:a2:00:40:a4:d7:1d,,,,,,1,6
4/14/13 11:49,00:13:a2:00:40:a0:97:e5,,,,,1,,5
4/14/13 11:49,00:13:a2:00:40:79:c2:16,,,1,,,,3
4/14/13 11:49,00:13:a2:00:40:79:c2:16,,,1,,,,3
4/14/13 11:49,00:13:a2:00:40:79:c2:16,,,1,,,,3
4/14/13 11:49,00:13:a2:00:40:79:c2:16,,,1,,,,3
4/14/13 11:51,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:51,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:51,00:13:a2:00:40:79:c2:16,,,1,,,,3
4/14/13 11:51,00:13:a2:00:40:79:c2:16,,,1,,,,3
4/14/13 11:51,00:13:a2:00:40:79:c2:16,,,1,,,,3
4/14/13 11:51,00:13:a2:00:40:79:c2:16,,,1,,,,3
4/14/13 11:51,00:13:a2:00:40:79:c2:16,,,1,,,,3
4/14/13 11:53,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:53,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:53,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:54,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:54,00:13:a2:00:40:79:c2:16,,,1,,,,3
4/14/13 11:55,00:13:a2:00:40:a4:d7:1d,,,,,,1,6
4/14/13 11:55,00:13:a2:00:40:a0:97:e5,,,,,1,,5
4/14/13 11:55,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:55,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:55,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:55,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:56,00:13:a2:00:40:a4:d7:1d,,,,,,1,6
4/14/13 11:56,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:56,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:56,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:56,00:13:a2:00:40:89:d6:0b,1,,,,,,1
4/14/13 11:57,00:13:a2:00:40:a0:97:e5,,,,,1,,5
4/14/13 11:57,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:57,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:57,00:13:a2:00:40:8b:48:8c,,1,,,,,2
4/14/13 11:57,00:13:a2:00:40:8b:48:8c,,1,,,,,2
