lat,lon,alt,date,device,os,version
40.7023124695,-73.9875335693,26.0982627869,2013-02-25 01:31:44,"iPhone4,1",6.1.1,1.1
40.7023124695,-73.9875335693,26.0982627869,2013-02-25 01:31:44,"iPhone4,1",6.1.2,1.1
40.7023124695,-73.9875335693,26.0982627869,2013-02-25 01:31:44,"iPhone4,1",6.1.3,1.1
40.7019767761,-73.9879837036,24.6624565125,2013-02-25 03:29:04,"iPhone4,1",6.1.1,1.1
40.7019767761,-73.9879837036,24.6624565125,2013-02-25 03:29:04,"iPhone4,1",6.1.2,1.1
40.7019767761,-73.9879837036,24.6624565125,2013-02-25 03:29:04,"iPhone4,1",6.1.3,1.1
40.7013015747,-73.9857177734,24.5631713867,2013-02-25 03:33:20,"iPhone4,1",6.1.1,1.1
40.7013015747,-73.9857177734,24.5631713867,2013-02-25 03:33:20,"iPhone4,1",6.1.2,1.1
40.7013015747,-73.9857177734,24.5631713867,2013-02-25 03:33:20,"iPhone4,1",6.1.3,1.1
40.7050895691,-73.9927368164,18.6698989868,2013-02-25 03:46:08,"iPhone4,1",6.1.1,1.1
40.7050895691,-73.9927368164,18.6698989868,2013-02-25 03:46:08,"iPhone4,1",6.1.2,1.1
40.7050895691,-73.9927368164,18.6698989868,2013-02-25 03:46:08,"iPhone4,1",6.1.3,1.1
40.7097587585,-73.9860992432,20.3356800079,2013-02-25 03:52:32,"iPhone4,1",6.1.1,1.1
40.7097587585,-73.9860992432,20.3356800079,2013-02-25 03:52:32,"iPhone4,1",6.1.2,1.1
40.7097587585,-73.9860992432,20.3356800079,2013-02-25 03:52:32,"iPhone4,1",6.1.3,1.1
40.70520401,-73.9915008545,19.759979248,2013-02-25 03:58:56,"iPhone4,1",6.1.1,1.1
40.70520401,-73.9915008545,19.759979248,2013-02-25 03:58:56,"iPhone4,1",6.1.2,1.1
40.70520401,-73.9915008545,19.759979248,2013-02-25 03:58:56,"iPhone4,1",6.1.3,1.1
40.7014770508,-73.9878845215,29.8064517975,2013-02-25 12:05:20,"iPhone4,1",6.1.1,1.1
40.7014770508,-73.9878845215,29.8064517975,2013-02-25 12:05:20,"iPhone4,1",6.1.2,1.1
40.7014770508,-73.9878845215,29.8064517975,2013-02-25 12:05:20,"iPhone4,1",6.1.3,1.1
40.7085189819,-73.9577178955,21.8340435028,2013-02-25 12:11:44,"iPhone4,1",6.1.1,1.1
40.7085189819,-73.9577178955,21.8340435028,2013-02-25 12:11:44,"iPhone4,1",6.1.2,1.1
40.7085189819,-73.9577178955,21.8340435028,2013-02-25 12:11:44,"iPhone4,1",6.1.3,1.1
40.737865448,-73.902923584,29.6579437256,2013-02-25 12:16:00,"iPhone4,1",6.1.1,1.1
40.737865448,-73.902923584,29.6579437256,2013-02-25 12:16:00,"iPhone4,1",6.1.2,1.1
40.737865448,-73.902923584,29.6579437256,2013-02-25 12:16:00,"iPhone4,1",6.1.3,1.1
40.7709617615,-73.8653259277,19.4089832306,2013-02-25 12:28:48,"iPhone4,1",6.1.1,1.1
40.7709617615,-73.8653259277,19.4089832306,2013-02-25 12:28:48,"iPhone4,1",6.1.2,1.1
40.7709617615,-73.8653259277,19.4089832306,2013-02-25 12:28:48,"iPhone4,1",6.1.3,1.1
40.7735328674,-73.8808135986,17.7251586914,2013-02-25 13:39:12,"iPhone4,1",6.1.1,1.1
40.7735328674,-73.8808135986,17.7251586914,2013-02-25 13:39:12,"iPhone4,1",6.1.2,1.1
40.7735328674,-73.8808135986,17.7251586914,2013-02-25 13:39:12,"iPhone4,1",6.1.3,1.1
40.7707672119,-73.8692626953,17.7251586914,2013-02-25 13:43:28,"iPhone4,1",6.1.1,1.1
40.7707672119,-73.8692626953,17.7251586914,2013-02-25 13:43:28,"iPhone4,1",6.1.2,1.1
40.7707672119,-73.8692626953,17.7251586914,2013-02-25 13:43:28,"iPhone4,1",6.1.3,1.1
40.7781524658,-73.8507461548,4,2013-02-25 14:15:28,"iPhone4,1",6.1.1,1.1
40.7781524658,-73.8507461548,4,2013-02-25 14:15:28,"iPhone4,1",6.1.2,1.1
40.7781524658,-73.8507461548,4,2013-02-25 14:15:28,"iPhone4,1",6.1.3,1.1
40.7733650208,-73.8968276978,4,2013-02-25 15:08:48,"iPhone4,1",6.1.1,1.1
40.7733650208,-73.8968276978,4,2013-02-25 15:08:48,"iPhone4,1",6.1.2,1.1
40.7733650208,-73.8968276978,4,2013-02-25 15:08:48,"iPhone4,1",6.1.3,1.1
39.8719978333,-75.2441101074,4,2013-02-25 15:32:16,"iPhone4,1",6.1.1,1.1
39.8719978333,-75.2441101074,4,2013-02-25 15:32:16,"iPhone4,1",6.1.2,1.1
39.8719978333,-75.2441101074,4,2013-02-25 15:32:16,"iPhone4,1",6.1.3,1.1
39.8719978333,-75.2441101074,4,2013-02-25 15:40:48,"iPhone4,1",6.1.1,1.1
39.8719978333,-75.2441101074,4,2013-02-25 15:40:48,"iPhone4,1",6.1.2,1.1
39.8719978333,-75.2441101074,4,2013-02-25 15:40:48,"iPhone4,1",6.1.3,1.1
39.8719978333,-75.2441101074,39,2013-02-25 16:14:56,"iPhone4,1",6.1.1,1.1
39.8719978333,-75.2441101074,39,2013-02-25 16:14:56,"iPhone4,1",6.1.2,1.1
39.8719978333,-75.2441101074,39,2013-02-25 16:14:56,"iPhone4,1",6.1.3,1.1
39.8719978333,-75.2441101074,39,2013-02-25 16:17:04,"iPhone4,1",6.1.1,1.1
39.8719978333,-75.2441101074,39,2013-02-25 16:17:04,"iPhone4,1",6.1.2,1.1
39.8719978333,-75.2441101074,39,2013-02-25 16:17:04,"iPhone4,1",6.1.3,1.1
39.8749275208,-75.2613754272,-14,2013-02-25 16:44:48,"iPhone4,1",6.1.1,1.1
39.8749275208,-75.2613754272,-14,2013-02-25 16:44:48,"iPhone4,1",6.1.2,1.1
39.8749275208,-75.2613754272,-14,2013-02-25 16:44:48,"iPhone4,1",6.1.3,1.1
39.9822120667,-83.0012283325,232,2013-02-25 18:40:00,"iPhone4,1",6.1.1,1.1
39.9822120667,-83.0012283325,232,2013-02-25 18:40:00,"iPhone4,1",6.1.2,1.1
39.9822120667,-83.0012283325,232,2013-02-25 18:40:00,"iPhone4,1",6.1.3,1.1
39.982170105,-83.0012893677,229.070617676,2013-02-25 18:46:24,"iPhone4,1",6.1.1,1.1
39.982170105,-83.0012893677,229.070617676,2013-02-25 18:46:24,"iPhone4,1",6.1.2,1.1
39.982170105,-83.0012893677,229.070617676,2013-02-25 18:46:24,"iPhone4,1",6.1.3,1.1
39.9943962097,-83.0069351196,232,2013-02-25 19:01:20,"iPhone4,1",6.1.1,1.1
39.9943962097,-83.0069351196,232,2013-02-25 19:01:20,"iPhone4,1",6.1.2,1.1
39.9943962097,-83.0069351196,232,2013-02-25 19:01:20,"iPhone4,1",6.1.3,1.1
39.988609314,-83.001373291,231.476287842,2013-02-25 19:09:52,"iPhone4,1",6.1.1,1.1
39.988609314,-83.001373291,231.476287842,2013-02-25 19:09:52,"iPhone4,1",6.1.2,1.1
39.988609314,-83.001373291,231.476287842,2013-02-25 19:09:52,"iPhone4,1",6.1.3,1.1
39.9822998047,-83.0010604858,231.943969727,2013-02-25 19:22:40,"iPhone4,1",6.1.1,1.1
39.9822998047,-83.0010604858,231.943969727,2013-02-25 19:22:40,"iPhone4,1",6.1.2,1.1
39.9822998047,-83.0010604858,231.943969727,2013-02-25 19:22:40,"iPhone4,1",6.1.3,1.1
39.9821891785,-83.0012359619,248.723907471,2013-02-25 23:42:56,"iPhone4,1",6.1.1,1.1
39.9821891785,-83.0012359619,248.723907471,2013-02-25 23:42:56,"iPhone4,1",6.1.2,1.1
39.9821891785,-83.0012359619,248.723907471,2013-02-25 23:42:56,"iPhone4,1",6.1.3,1.1
40.0148849487,-82.9977035522,256.193634033,2013-02-26 00:00:00,"iPhone4,1",6.1.1,1.1
40.0148849487,-82.9977035522,256.193634033,2013-02-26 00:00:00,"iPhone4,1",6.1.2,1.1
40.0148849487,-82.9977035522,256.193634033,2013-02-26 00:00:00,"iPhone4,1",6.1.3,1.1
40.049407959,-83.0135726929,242.787582397,2013-02-26 00:06:24,"iPhone4,1",6.1.1,1.1
40.049407959,-83.0135726929,242.787582397,2013-02-26 00:06:24,"iPhone4,1",6.1.2,1.1
40.049407959,-83.0135726929,242.787582397,2013-02-26 00:06:24,"iPhone4,1",6.1.3,1.1
40.0485801697,-83.0204086304,237.323577881,2013-02-26 00:10:40,"iPhone4,1",6.1.1,1.1
40.048538208,-83.0204162598,244,2013-02-26 00:10:40,"iPhone4,1",6.1.1,1.1
40.0485801697,-83.0204086304,237.323577881,2013-02-26 00:10:40,"iPhone4,1",6.1.2,1.1
40.048538208,-83.0204162598,244,2013-02-26 00:10:40,"iPhone4,1",6.1.2,1.1
40.0485801697,-83.0204086304,237.323577881,2013-02-26 00:10:40,"iPhone4,1",6.1.3,1.1
40.048538208,-83.0204162598,244,2013-02-26 00:10:40,"iPhone4,1",6.1.3,1.1
40.0067024231,-83.0007247925,237,2013-02-26 00:21:20,"iPhone4,1",6.1.1,1.1
40.0067024231,-83.0007247925,237,2013-02-26 00:21:20,"iPhone4,1",6.1.2,1.1
40.0067024231,-83.0007247925,237,2013-02-26 00:21:20,"iPhone4,1",6.1.3,1.1
39.9821929932,-83.0009613037,232,2013-02-26 00:36:16,"iPhone4,1",6.1.1,1.1
39.9821929932,-83.0009613037,232,2013-02-26 00:36:16,"iPhone4,1",6.1.2,1.1
39.9821929932,-83.0009613037,232,2013-02-26 00:36:16,"iPhone4,1",6.1.3,1.1
39.9821853638,-83.0012207031,232,2013-02-26 00:38:24,"iPhone4,1",6.1.1,1.1
39.9821853638,-83.0012207031,232,2013-02-26 00:38:24,"iPhone4,1",6.1.2,1.1
39.9821853638,-83.0012207031,232,2013-02-26 00:38:24,"iPhone4,1",6.1.3,1.1
39.9821586609,-83.0013656616,203,2013-02-26 00:40:32,"iPhone4,1",6.1.1,1.1
39.9821586609,-83.0013656616,203,2013-02-26 00:40:32,"iPhone4,1",6.1.2,1.1
39.9821586609,-83.0013656616,203,2013-02-26 00:40:32,"iPhone4,1",6.1.3,1.1
39.9821853638,-83.0011138916,232.451156616,2013-02-26 01:48:48,"iPhone4,1",6.1.2,1.1
39.9821853638,-83.0011138916,232.451156616,2013-02-26 01:48:48,"iPhone4,1",6.1.3,1.1
39.9828071594,-83.0082550049,226.775634766,2013-02-26 14:13:20,"iPhone4,1",6.1.2,1.1
39.9828071594,-83.0082550049,226.775634766,2013-02-26 14:13:20,"iPhone4,1",6.1.3,1.1
39.9827957153,-83.008354187,226.41027832,2013-02-26 16:29:52,"iPhone4,1",6.1.2,1.1
39.9827613831,-83.0082244873,231,2013-02-26 16:29:52,"iPhone4,1",6.1.2,1.1
39.9827957153,-83.008354187,226.41027832,2013-02-26 16:29:52,"iPhone4,1",6.1.3,1.1
39.9827613831,-83.0082244873,231,2013-02-26 16:29:52,"iPhone4,1",6.1.3,1.1
39.9825248718,-83.0082778931,231,2013-02-26 16:32:00,"iPhone4,1",6.1.2,1.1
39.9825248718,-83.0082778931,231,2013-02-26 16:32:00,"iPhone4,1",6.1.3,1.1
39.9823722839,-83.0015945435,232,2013-02-26 16:51:12,"iPhone4,1",6.1.2,1.1
39.9823722839,-83.0015945435,232,2013-02-26 16:51:12,"iPhone4,1",6.1.3,1.1
39.9827079773,-83.0081558228,226.821426392,2013-02-26 17:01:52,"iPhone4,1",6.1.2,1.1
39.9827079773,-83.0081558228,226.821426392,2013-02-26 17:01:52,"iPhone4,1",6.1.3,1.1
39.9986953735,-83.0060806274,226.182327271,2013-02-26 22:21:52,"iPhone4,1",6.1.2,1.1
